139;hlth;Mental Health Care;hlth;12296
140;art med;Graphic Design;art_med;5536
141;gov org tran;International Trade and Development;gov_org_tran;3286
142;good man rec;Wine and Spirits;good_man_rec;960
143;good;Luxury Goods & Jewelry;good;1352
144;gov man org;Renewables & Environment;gov_man_org;2967
145;cons man;Glass, Ceramics & Concrete;cons_man;349
146;good man;Packaging and Containers;good_man;784
147;cons man;Industrial Automation;cons_man;2079
148;gov;Government Relations;gov;4924
